,year,month,day,yield_week_pc
445,2009,8,14,0.028925282880663872
446,2009,8,21,0.02931569144129753
447,2009,8,28,0.028631646186113358
448,2009,9,4,0.028966445475816727
449,2009,9,11,0.02790744975209236
450,2009,9,18,0.02704656682908535
451,2009,9,25,0.026652054861187935
452,2009,10,2,0.025278769433498383
453,2009,10,9,0.022993216291069984
454,2009,10,16,0.02217330038547516
455,2009,10,23,0.022372543811798096
456,2009,10,30,0.0234239362180233
457,2009,11,6,0.022904658690094948
458,2009,11,13,0.02238059788942337
459,2009,11,19,0.022160036489367485
460,2009,11,27,0.022140199318528175
461,2009,12,4,0.021958326920866966
462,2009,12,11,0.02181430347263813
463,2009,12,18,0.022022023797035217
464,2009,12,23,0.022539323195815086
465,2009,12,30,0.02203952521085739
466,2010,1,8,0.021854493767023087
467,2010,1,15,0.021919282153248787
468,2010,1,22,0.022426391020417213
469,2010,1,29,0.023188883438706398
470,2010,2,5,0.022562077268958092
471,2010,2,12,0.02276073768734932
472,2010,2,19,0.022014010697603226
473,2010,2,26,0.02249941974878311
474,2010,3,5,0.023194482550024986
475,2010,3,12,0.02278877981007099
476,2010,3,19,0.022845564410090446
477,2010,3,26,0.023051448166370392
478,2010,4,1,0.02243146486580372
479,2010,4,9,0.02136850170791149
480,2010,4,16,0.021512679755687714
481,2010,4,23,0.02175944112241268
482,2010,4,30,0.022265201434493065
483,2010,5,7,0.022941991686820984
484,2010,5,14,0.022990833967924118
485,2010,5,21,0.024351246654987335
486,2010,5,28,0.02437225729227066
487,2010,6,4,0.022355034947395325
488,2010,6,11,0.021949121728539467
489,2010,6,18,0.021371090784668922
490,2010,6,25,0.021202675998210907
491,2010,7,2,0.022083323448896408
492,2010,7,8,0.02191372588276863
493,2010,7,16,0.02162899449467659
494,2010,7,23,0.0211892481893301
495,2010,7,30,0.02059399150311947
496,2010,8,6,0.019397998228669167
497,2010,8,13,0.019791647791862488
498,2010,8,20,0.019656039774417877
499,2010,8,27,0.020129967480897903
