,year,month,day,week_si
385,2020,6,5,0.015098809003829957
386,2020,6,12,0.011254702806472778
387,2020,6,19,0.013353925943374634
388,2020,6,26,0.013061566352844238
389,2020,7,3,0.01288562774658203
390,2020,7,10,0.013196884393692017
391,2020,7,17,0.013391966819763184
392,2020,7,24,0.013032201528549194
393,2020,7,31,0.012876672744750977
394,2020,8,7,0.012796354293823243
395,2020,8,14,0.012633047103881835
396,2020,8,21,0.012786855697631836
397,2020,8,28,0.012919086217880248
398,2020,9,4,0.013244562149047852
399,2020,9,11,0.01092441201210022
400,2020,9,18,0.014095691442489624
401,2020,9,25,0.014387079477310181
402,2020,10,2,0.014668639898300171
403,2020,10,9,0.014886699914932251
404,2020,10,16,0.01161113977432251
405,2020,10,23,0.014727233648300172
406,2020,10,30,0.014477894306182862
407,2020,11,6,0.011883634328842162
408,2020,11,13,0.015296322107315064
409,2020,11,20,0.014865857362747193
410,2020,11,27,0.014594274759292602
411,2020,12,4,0.014900089502334594
412,2020,12,11,0.014685070514678955
413,2020,12,18,0.015295729637145997
414,2020,12,25,0.009359595775604248
415,2021,1,1,0.008727393150329589
416,2021,1,8,0.014426982402801514
417,2021,1,15,0.014805628061294556
418,2021,1,22,0.01474805235862732
419,2021,1,29,0.01199223279953003
420,2021,2,5,0.015146114826202393
421,2021,2,12,0.01484328031539917
422,2021,2,19,0.009104745984077454
423,2021,2,26,0.01643346071243286
424,2021,3,5,0.01651376247406006
425,2021,3,12,0.017990806102752686
426,2021,3,19,0.01817372441291809
427,2021,3,26,0.01793834686279297
428,2021,4,2,0.01368045449256897
429,2021,4,9,0.016707675457000734
430,2021,4,16,0.01670695185661316
431,2021,4,23,0.013524459600448608
432,2021,4,30,0.016467905044555663
433,2021,5,7,0.016182878017425538
434,2021,5,14,0.01634193420410156
435,2021,5,21,0.01607167363166809
436,2021,5,28,0.015941379070281984
437,2021,6,4,0.012328290939331054
438,2021,6,11,0.015343664884567261
439,2021,6,18,0.015133692026138306
440,2021,6,25,0.015420129299163818
441,2021,7,2,0.015255533456802368
442,2021,7,9,0.011765540838241577
443,2021,7,16,0.014595171213150024
444,2021,7,23,0.014308516979217529
445,2021,7,30,0.013785595893859864
446,2021,8,6,0.013483408689498901
447,2021,8,13,0.013614014387130738
448,2021,8,20,0.014408849477767945
449,2021,8,27,0.014523366689682007
450,2021,9,3,0.014525052309036255
451,2021,9,10,0.011735593080520629
452,2021,9,17,0.015160781145095826
453,2021,9,24,0.015837589502334593
