year,month,day,ivolbr
2014,12,12,27.47491
2014,12,15,27.20625
2014,12,16,26.78579
2014,12,17,27.06388
2014,12,18,23.74337
2014,12,19,23.37784
2014,12,22,25.47644
2014,12,23,22.8697
2014,12,26,25.65751
2014,12,30,24.52466
2015,1,2,
2015,1,6,29.14634
2015,1,7,26.71745
2015,1,9,27.21372
2015,1,13,23.6994
2015,1,14,26.00338
2015,1,15,
2015,1,19,24.27311
2015,1,20,28.09091
2015,1,21,25.54158
2015,1,22,24.33743
2015,1,23,24.96608
2015,1,26,24.27841
2015,1,27,26.98889
2015,1,28,26.17941
2015,1,29,
2015,1,30,25.77956
2015,2,2,28.22686
2015,2,3,
2015,2,4,27.05087
2015,2,5,25.87416
2015,2,6,27.14594
2015,2,9,
2015,2,10,
2015,2,11,31.29752
2015,2,12,24.77255
2015,2,13,23.67713
2015,2,18,24.12215
2015,2,19,
2015,2,20,
2015,2,24,21.27511
2015,2,25,20.8387
2015,2,26,20.13166
2015,2,27,20.16837
2015,3,2,21.58705
2015,3,3,22.24337
2015,3,4,21.82332
2015,3,5,22.51932
2015,3,6,22.66655
2015,3,9,24.48138
2015,3,10,25.71681
2015,3,11,25.23092
2015,3,12,17.65004
2015,3,13,22.15279
2015,3,16,25.55245
2015,3,17,22.54288
2015,3,18,22.66175
2015,3,20,22.43322
2015,3,23,20.26954
2015,3,24,22.09519
2015,3,25,23.81668
2015,3,27,
2015,3,30,
2015,3,31,25.44377
2015,4,1,24.22748
2015,4,2,22.30598
2015,4,6,22.65993
2015,4,7,20.81905
2015,4,8,21.35675
2015,4,9,
2015,4,10,19.6256
2015,4,13,
2015,4,14,20.62107
2015,4,15,21.61133
2015,4,16,21.38778
2015,4,17,22.50239
2015,4,20,22.55816
2015,4,22,21.46294
2015,4,23,20.34078
2015,4,24,17.27559
2015,4,27,20.65381
2015,4,28,
2015,4,29,
2015,5,4,20.51905
2015,5,5,22.75521
2015,5,7,21.74717
2015,5,8,22.56952
2015,5,11,17.4785
2015,5,12,22.20145
2015,5,13,20.28784
2015,5,14,19.62861
2015,5,15,
2015,5,18,18.44914
2015,5,19,19.30805
2015,5,20,21.64363
2015,5,21,21.87886
2015,5,22,22.10821
2015,5,25,
2015,5,26,21.36581
2015,5,27,22.15782
2015,5,28,22.08195
2015,5,29,20.77147
2015,6,1,13.87826
2015,6,2,21.08904
2015,6,3,22.43806
2015,6,8,21.29256
2015,6,9,19.60555
2015,6,10,16.6108
2015,6,11,20.14946
2015,6,12,19.96092
2015,6,15,20.6369
2015,6,17,20.00126
2015,6,18,18.85038
2015,6,19,20.82224
2015,6,23,22.6512
2015,6,24,
2015,6,25,
2015,6,26,17.91389
2015,6,30,18.31243
2015,7,1,20.35456
2015,7,2,
2015,7,3,21.26285
2015,7,7,21.09723
2015,7,8,21.19244
2015,7,10,22.7958
2015,7,13,21.98747
2015,7,14,21.48125
2015,7,15,17.25912
2015,7,16,19.13676
2015,7,17,
2015,7,20,18.13684
2015,7,22,23.14995
2015,7,23,25.27094
2015,7,24,21.73011
2015,7,27,25.862
2015,7,28,23.83449
2015,7,29,19.64093
2015,7,31,20.88873
2015,8,3,20.83769
2015,8,4,23.57147
2015,8,5,23.10676
2015,8,6,24.67966
2015,8,7,26.41059
2015,8,11,36.62584
2015,8,12,26.9393
2015,8,13,26.66584
2015,8,14,24.56386
2015,8,17,26.18814
2015,8,18,25.55974
2015,8,19,25.11816
2015,8,20,24.68537
2015,8,21,26.71131
2015,8,24,37.00942
2015,8,25,33.18081
2015,8,26,31.22449
2015,8,27,29.89314
2015,8,28,29.07492
2015,8,31,30.58623
2015,9,1,33.26376
2015,9,2,34.08196
2015,9,3,30.86518
2015,9,4,33.80489
2015,9,8,30.84535
2015,9,9,29.76755
2015,9,10,31.69656
2015,9,11,31.11805
2015,9,14,32.23245
2015,9,15,28.35353
2015,9,16,27.85065
2015,9,17,28.5694
2015,9,18,29.97424
2015,9,21,30.87845
2015,9,22,34.36017
2015,9,23,31.45556
2015,9,24,33.87531
2015,9,25,35.20399
2015,9,28,34.56577
2015,9,29,34.06767
2015,9,30,33.79054
2015,10,1,30.65952
2015,10,2,31.14566
2015,10,5,29.00725
2015,10,6,29.7724
2015,10,7,25.96784
2015,10,8,29.06278
2015,10,9,28.73482
2015,10,13,28.26972
2015,10,14,30.48497
2015,10,15,26.91938
2015,10,20,27.15782
2015,10,21,27.65028
2015,10,22,24.93954
2015,10,26,23.06118
2015,10,27,24.05381
2015,10,28,23.10883
2015,10,29,28.05792
2015,10,30,23.3717
2015,11,3,23.87946
2015,11,4,25.16732
2015,11,5,22.78575
2015,11,6,23.71486
2015,11,9,24.37166
2015,11,10,26.03018
2015,11,11,23.21727
2015,11,12,27.38713
2015,11,13,26.10071
2015,11,16,26.61979
2015,11,17,26.31756
2015,11,18,26.22652
2015,11,19,23.84913
2015,11,23,23.22314
2015,11,24,24.89025
2015,11,25,26.56581
2015,11,26,24.40555
2015,11,27,25.31281
2015,11,30,26.88754
2015,12,1,26.3613
2015,12,2,26.29816
2015,12,3,28.04992
2015,12,4,27.2181
2015,12,7,25.73628
2015,12,8,26.4472
2015,12,9,29.21436
2015,12,10,30.19656
2015,12,11,30.19395
2015,12,14,31.66909
2015,12,16,30.41197
2015,12,17,31.11948
2015,12,18,30.24058
2015,12,21,29.29288
2015,12,22,25.82609
2015,12,23,26.33113
2015,12,28,
2015,12,29,26.05146
2015,12,30,24.9263
2016,1,4,25.37344
2016,1,5,27.10609
2016,1,6,26.78814
2016,1,7,29.46212
2016,1,8,25.68782
2016,1,11,29.18012
2016,1,12,29.15341
2016,1,13,29.65936
2016,1,14,31.26354
2016,1,15,32.75251
2016,1,18,31.15376
2016,1,19,30.95121
2016,1,20,28.11005
2016,1,21,30.11038
2016,1,22,29.24712
2016,1,26,28.1696
2016,1,27,24.85446
2016,1,28,30.20227
2016,1,29,28.41452
2016,2,1,28.93062
2016,2,2,28.93431
2016,2,3,34.29902
2016,2,4,29.85621
2016,2,5,30.48737
2016,2,10,29.51519
2016,2,11,27.71288
2016,2,12,30.42524
2016,2,15,29.62777
2016,2,16,29.12309
2016,2,17,29.42573
2016,2,18,30.0981
2016,2,19,27.41631
2016,2,22,28.96691
2016,2,23,28.52316
2016,2,24,28.76481
2016,2,26,29.07988
2016,2,29,30.12834
2016,3,1,29.55582
2016,3,2,28.5679
2016,3,3,30.24947
2016,3,4,33.62649
2016,3,7,30.92927
2016,3,8,30.64512
2016,3,9,30.09671
2016,3,10,27.88753
2016,3,11,33.58998
2016,3,14,30.78743
2016,3,15,36.55494
2016,3,16,31.981
2016,3,17,40.0042
2016,3,18,34.69747
2016,3,21,33.91232
