date,average_short_interest
2014-07-29,23.311427661287283
2014-07-30,23.95585233799859
2014-07-31,24.815926177993326
2014-08-01,23.868296944835876
2014-08-04,24.11619378017762
2014-08-05,26.655773946476504
2014-08-06,29.69969858694155
2014-08-07,25.35132681612822
2014-08-08,25.094638385215518
2014-08-11,24.9373296258584
2014-08-12,25.448357490686153
2014-08-13,26.141286130916157
2014-08-14,28.848895543424373
2014-08-15,29.58939446706925
2014-08-18,39.032253504066084
2014-08-19,29.587922040285214
2014-08-20,32.223506667655755
2014-08-21,33.17336031902078
2014-08-22,26.04978806810635
2014-08-25,25.72772588208245
2014-08-26,24.705462454791032
2014-08-27,24.72126562250185
2014-08-28,24.624211247917177
2014-08-29,25.061361998766074
2014-09-01,24.691040465574936
2014-09-02,24.432566951489843
2014-09-03,28.466359671805474
2014-09-04,29.55583609450595
2014-09-05,24.741545618675
2014-09-08,24.794547706072922
2014-09-09,24.118788325904756
2014-09-10,24.10275621206759
2014-09-11,24.133079163632203
2014-09-12,23.917795502899722
2014-09-15,24.150576866797522
2014-09-16,24.441840916385253
2014-09-17,23.99111600506622
2014-09-18,23.323065871100837
2014-09-19,23.29417734340486
2014-09-22,23.70790240119606
2014-09-23,23.8098709457346
2014-09-24,24.75228532756961
2014-09-25,24.82733619101827
2014-09-26,24.09899520952261
2014-09-29,23.900923530943345
2014-09-30,24.51838677897213
2014-10-01,24.750509902705186
2014-10-02,24.7915729841843
2014-10-03,24.831754007098375
2014-10-06,29.669860917867197
2014-10-07,24.973118578599067
2014-10-08,25.121625007042844
2014-10-09,24.620646992898806
2014-10-10,24.31886078451468
2014-10-13,24.451500335789532
2014-10-14,24.708727709261456
2014-10-15,24.490866525979058
2014-10-16,24.84031803848786
2014-10-17,29.87557780807594
2014-10-20,33.78520305124214
2014-10-21,41.60533136330357
2014-10-22,24.97800749116002
2014-10-23,24.44768894297681
2014-10-24,24.469746392710206
2014-10-27,25.503675904720776
2014-10-28,26.332898290475285
2014-10-29,26.716995352602655
2014-10-30,26.50213994864704
2014-10-31,26.328376417039298
2014-11-03,26.560616908445326
2014-11-04,26.705516014688644
2014-11-05,31.31942554858461
2014-11-06,31.078214157469738
2014-11-07,26.91450470618683
2014-11-10,27.143954519343488
2014-11-11,27.148157026082774
2014-11-12,26.745512130606258
2014-11-13,26.595379592520253
2014-11-14,26.99968808693027
2014-11-17,27.06810639323318
2014-11-18,27.255203380436853
2014-11-19,27.326458412270878
2014-11-21,28.022686002754398
2014-11-24,27.251246664942002
2014-11-25,26.777847532308567
2014-11-26,26.245710772759676
2014-11-27,25.566858737768413
2014-11-28,25.235174251409894
2014-12-01,24.882345406285385
2014-12-02,25.331104269881674
2014-12-03,25.731657442552944
2014-12-04,30.505122239434524
2014-12-05,25.62047666433705
2014-12-08,25.941534507837222
2014-12-09,25.847279512459817
2014-12-10,25.803339342600996
2014-12-11,25.916118470799343
2014-12-12,26.0429393381746
2014-12-15,26.45641500020214
2014-12-16,27.056478285736485
2014-12-17,27.559731737261163
2014-12-18,27.884399476053403
2014-12-19,28.69451224642657
2014-12-22,29.806689910530682
2014-12-23,29.750909580184416
2014-12-26,28.10605759263016
2014-12-29,31.08738705150639
2014-12-30,27.251322782880322
2015-01-02,27.338016122306232
2015-01-05,27.578681335285538
2015-01-06,28.321798767056354
2015-01-07,28.780740383845533
2015-01-08,29.863927513413465
2015-01-09,30.16912340109356
2015-01-12,29.617824763760144
2015-01-13,29.228790481120377
2015-01-14,29.418528209574855
2015-01-15,29.350417204424033
2015-01-16,29.476292554111293
2015-01-19,29.684827378243842
2015-01-20,29.765265918361795
2015-01-21,29.833388131198742
2015-01-22,29.833983444624796
2015-01-23,30.27329689747317
2015-01-26,30.45509481131607
2015-01-27,29.88053043594398
2015-01-28,30.02689781627094
2015-01-29,29.988715893005505
2015-01-30,29.782804240685124
2015-02-02,30.03642881943254
2015-02-03,30.081675323493652
2015-02-04,30.103470879344123
2015-02-05,30.052217673264664
2015-02-06,30.106372390593815
2015-02-09,29.814635363582195
2015-02-10,30.27320294448112
2015-02-11,30.56132338714218
2015-02-12,30.15528030645046
2015-02-13,30.391306099540028
2015-02-18,30.5338205311691
2015-02-19,30.32844356612702
2015-02-20,30.0475574937908
2015-02-23,29.22526918117724
2015-02-24,29.077472836322137
2015-02-25,29.494400389528696
2015-02-26,29.748419401881936
2015-02-27,29.699990595933798
2015-03-02,29.696586958405845
2015-03-03,29.509603960287457
2015-03-04,29.256190356139943
2015-03-05,29.574528801245933
2015-03-06,29.80218874339467
2015-03-09,29.992322687788914
2015-03-10,30.120152323552706
2015-03-11,31.102026610183657
2015-03-12,31.27083733341757
2015-03-13,31.919070860046663
2015-03-16,32.83406515737985
2015-03-17,33.09670482130413
2015-03-18,33.57246046553493
2015-03-19,33.34860681873948
2015-03-20,33.14515476843091
2015-03-23,33.36552481310455
2015-03-24,33.58888940283464
2015-03-25,35.34567041958542
2015-03-26,33.75506850865271
2015-03-27,33.72953012014709
2015-03-30,33.80265923261491
2015-03-31,34.337633078171585
2015-04-01,34.49780571122068
2015-04-02,34.9759823127954
2015-04-06,35.0447367312329
2015-04-07,34.69752592986595
2015-04-08,34.283571653090654
2015-04-09,33.90576554194323
2015-04-10,33.38179763837336
2015-04-13,32.94284032233426
2015-04-14,33.16610716108296
2015-04-15,33.20159771540458
2015-04-16,32.80555919265944
2015-04-17,32.61425838864256
2015-04-20,32.30039974758769
2015-04-22,32.23684917568974
2015-04-23,32.31376214761851
2015-04-24,31.696314018757732
2015-04-27,31.759673767832687
2015-04-28,31.233340310487566
2015-04-29,30.861673180341022
2015-04-30,30.27379691183687
2015-05-04,30.2119688951475
2015-05-05,29.90797868122452
2015-05-06,29.54058438632807
