ano,mes,dia,yield_week_pc
2009,7,31,.0286307
2009,8,7,.0288844
2009,8,14,.0289253
2009,8,21,.0293157
2009,8,28,.0286316
2009,9,4,.0289664
2009,9,11,.0279074
2009,9,18,.0270466
2009,9,25,.0266521
2009,10,2,.0252788
2009,10,9,.0229932
2009,10,16,.0221733
2009,10,23,.0223725
2009,10,30,.0234239
2009,11,6,.0229047
2009,11,13,.0223806
2009,11,19,.02216
2009,11,27,.0221402
2009,12,4,.0219583
2009,12,11,.0218143
2009,12,18,.022022
2009,12,23,.0225393
2009,12,30,.0220395
2010,1,8,.0218545
2010,1,15,.0219193
2010,1,22,.0224264
2010,1,29,.0231889
2010,2,5,.0225621
2010,2,12,.0227607
2010,2,19,.022014
2010,2,26,.0224994
2010,3,5,.0231945
2010,3,12,.0227888
2010,3,19,.0228456
2010,3,26,.0230514
2010,4,1,.0224315
2010,4,9,.0213685
2010,4,16,.0215127
2010,4,23,.0217594
2010,4,30,.0222652
2010,5,7,.022942
2010,5,14,.0229908
2010,5,21,.0243512
2010,5,28,.0243723
2010,6,4,.022355
2010,6,11,.0219491
2010,6,18,.0213711
2010,6,25,.0212027
2010,7,2,.0220833
2010,7,8,.0219137
2010,7,16,.021629
2010,7,23,.0211892
2010,7,30,.020594
2010,8,6,.019398
2010,8,13,.0197916
2010,8,20,.019656
2010,8,27,.02013
2010,9,3,.0200958
2010,9,10,.0201203
2010,9,17,.0197258
2010,9,24,.0194878
2010,10,1,.0189412
2010,10,8,.0200093
2010,10,15,.0196706
2010,10,22,.0199948
2010,10,29,.0199481
2010,11,5,.0194562
2010,11,12,.0196364
2010,11,19,.0199667
2010,11,26,.0202378
2010,12,3,.0202519
2010,12,10,.0204147
2010,12,17,.0204878
2010,12,23,.0204856
2010,12,30,.0203453
2011,1,7,.0221964
2011,1,14,.0220962
2011,1,21,.0223537
2011,1,28,.0228657
2011,2,4,.0225116
2011,2,11,.0227349
2011,2,18,.0219798
2011,2,25,.0219989
2011,3,4,.0223382
2011,3,11,.0226805
2011,3,18,.0227073
2011,3,25,.0223873
2011,4,1,.0221407
2011,4,8,.0218979
2011,4,15,.0225594
2011,4,20,.0226723
2011,4,29,.0224274
2011,5,6,.0256077
2011,5,13,.0255701
2011,5,20,.0259959
2011,5,27,.0258273
2011,6,3,.0255438
2011,6,10,.0258222
2011,6,17,.0263183
2011,6,24,.0263307
2011,7,1,.0263493
2011,7,8,.028119
2011,7,15,.0295451
2011,7,22,.029691
2011,7,29,.0299483
2011,8,5,.0329869
2011,8,12,.0355398
2011,8,19,.034183
2011,8,26,.03465
2011,9,2,.0338585
2011,9,9,.0353117
2011,9,16,.0352976
2011,9,23,.0356917
2011,9,30,.0365763
2011,10,7,.036731
2011,10,14,.035238
2011,10,21,.0348313
2011,10,28,.0335232
2011,11,4,.0314974
2011,11,11,.0308379
2011,11,18,.0310831
2011,11,25,.032028
2011,12,2,.031354
2011,12,9,.0307144
2011,12,16,.0313076
2011,12,23,.0310373
2011,12,29,.0307186
2012,1,6,.0290579
2012,1,13,.0289237
2012,1,20,.0282362
2012,1,27,.0279186
2012,2,3,.0277371
2012,2,10,.027397
2012,2,17,.0271698
2012,2,24,.0269113
2012,3,2,.0265258
2012,3,9,.0261548
2012,3,16,.0256123
2012,3,23,.0258667
2012,3,30,.0260926
2012,4,5,.0284494
2012,4,13,.0289779
2012,4,20,.0288967
2012,4,27,.0289623
2012,5,4,.029417
2012,5,11,.0303463
2012,5,18,.0321704
2012,5,25,.0325871
2012,6,1,.0321572
2012,6,8,.0298943
2012,6,15,.0292953
2012,6,22,.0287587
2012,6,29,.029743
2012,7,6,.0282746
2012,7,13,.0290246
2012,7,20,.0287484
2012,7,27,.0287295
2012,8,3,.0270225
2012,8,10,.0259139
2012,8,17,.0259055
2012,8,24,.0260542
2012,8,31,.0263903
2012,9,6,.0231857
2012,9,14,.0225265
2012,9,21,.0221852
2012,9,28,.0224677
2012,10,5,.0222764
2012,10,11,.0222109
2012,10,19,.0220362
2012,10,26,.022527
2012,11,1,.0228868
2012,11,9,.0241248
2012,11,16,.0246065
2012,11,23,.0248171
2012,11,30,.0246684
2012,12,7,.0239654
2012,12,14,.0235345
2012,12,21,.0231741
2012,12,28,.0232563
2013,1,4,.0226969
2013,1,11,.0229071
2013,1,18,.0227154
2013,1,24,.0226174
2013,2,1,.0226592
2013,2,8,.0214913
2013,2,15,.0216771
2013,2,22,.0219037
2013,3,1,.0220922
2013,3,8,.023031
2013,3,15,.0229898
2013,3,22,.023447
2013,3,28,.0234958
2013,4,5,.0234579
2013,4,12,.0233352
2013,4,19,.0239358
2013,4,26,.0236088
2013,5,3,.0238345
2013,5,10,.0239225
2013,5,17,.0239725
2013,5,24,.0235225
2013,5,31,.0238058
2013,6,7,.0236048
2013,6,14,.024928
2013,6,21,.0256191
2013,6,28,.0261143
2013,7,5,.0273076
2013,7,12,.0272882
2013,7,19,.0266635
2013,7,26,.0261415
2013,8,2,.02548
2013,8,9,.0247789
2013,8,16,.0242408
2013,8,23,.02448
2013,8,30,.0248267
2013,9,6,.0262556
2013,9,13,.0253577
2013,9,20,.0250192
2013,9,27,.024976
2013,10,4,.0253985
2013,10,11,.0253339
2013,10,18,.0247681
2013,10,25,.0246606
2013,11,1,.0245654
2013,11,8,.0247196
2013,11,14,.027325
2013,11,22,.0271016
2013,11,29,.0275495
2013,12,6,.0299649
2013,12,13,.0302862
2013,12,20,.030231
2013,12,27,.0299144
2014,1,3,.0288813
2014,1,10,.028921
2014,1,17,.0292319
2014,1,24,.0298284
2014,1,31,.030531
2014,2,7,.0283581
2014,2,14,.0279175
2014,2,21,.0285351
2014,2,28,.0285466
2014,3,7,.0310182
2014,3,14,.0316591
2014,3,21,.0310147
2014,3,28,.0298418
2014,4,4,.0273433
2014,4,11,.0268717
2014,4,17,.0268826
2014,4,25,.0267039
2014,5,2,.0280438
2014,5,9,.0315476
2014,5,16,.0313569
2014,5,23,.0320431
2014,5,30,.0321348
2014,6,6,.0290158
2014,6,13,.027579
2014,6,20,.0275475
2014,6,27,.0279521
2014,7,4,.0280429
2014,7,11,.0276053
2014,7,18,.0269745
2014,7,25,.0262695
2014,8,1,.0269956
2014,8,8,.0280114
2014,8,15,.0279241
2014,8,22,.0269791
2014,8,29,.0260744
2014,9,5,.0261399
2014,9,12,.0273646
2014,9,19,.0274324
2014,9,26,.0283285
2014,10,3,.0289748
2014,10,10,.0272703
2014,10,17,.027553
2014,10,24,.0295921
2014,10,31,.0293663
2014,11,7,.0279332
2014,11,14,.0285676
2014,11,21,.0281012
2014,11,28,.0271624
2014,12,5,.0274901
2014,12,12,.0286385
2014,12,19,.0295089
2014,12,26,.0284467
2015,1,2,.0274124
2015,1,9,.0254246
2015,1,16,.0255639
2015,1,23,.0252779
2015,1,30,.0254056
2015,2,6,.026057
2015,2,13,.0258547
2015,2,20,.0250551
