ano,mes,dia,Rm_minus_Rf
2004,7,14,.0012798
2004,7,15,.0188099
2004,7,16,.0157438
2004,7,19,-.0153301
2004,7,20,.0059081
2004,7,21,-.0194899
2004,7,22,-.0143486
2004,7,23,-.0010667
2004,7,26,-.00815
2004,7,27,.0208619
2004,7,28,.0175773
2004,7,29,.0033624
2004,7,30,.0020905
2004,8,2,.0034133
2004,8,3,-.0026759
2004,8,4,-.0060799
2004,8,5,-.0313335
2004,8,6,.0159495
2004,8,9,-.0108303
2004,8,10,.0221496
2004,8,11,-.0033184
2004,8,12,.0051411
2004,8,13,-.0064849
2004,8,16,.0152813
2004,8,17,.0103708
2004,8,18,.0242336
2004,8,19,.006779
2004,8,20,.0083254
2004,8,23,-.0151459
2004,8,24,-.0022338
2004,8,25,.00721
2004,8,26,-.0184871
2004,8,27,.0019788
2004,8,30,.0051479
2004,8,31,-.0050747
2004,9,1,-.0086008
2004,9,2,.0108079
2004,9,3,-.0097807
2004,9,6,.0036625
2004,9,8,.0029143
2004,9,9,-.0067022
2004,9,10,-.0117751
2004,9,13,-.0024177
2004,9,14,.0171327
2004,9,15,.0010092
2004,9,16,.0195776
2004,9,17,.009885
2004,9,20,.0003627
2004,9,21,.0019832
2004,9,22,-.0125548
2004,9,23,.006148
2004,9,24,.0025706
2004,9,27,-.0045612
2004,9,28,.0197726
2004,9,29,.0010757
2004,9,30,.0016845
2004,10,1,.0243308
2004,10,4,.010391
2004,10,5,.0069787
2004,10,6,-.0047705
2004,10,7,.0002698
2004,10,8,-.0050861
2004,10,11,-.0002574
2004,10,13,-.0251724
2004,10,14,-.010119
2004,10,15,.0200039
2004,10,18,.0009522
2004,10,19,-.0207753
2004,10,20,.0000427
2004,10,21,.0129489
2004,10,22,-.0076108
2004,10,25,-.0033465
2004,10,26,.0072435
2004,10,27,.0074549
2004,10,28,-.0076536
2004,10,29,.006672
2004,11,1,.0032734
2004,11,3,.0101982
2004,11,4,.0058249
2004,11,5,-.0047355
2004,11,8,-.0147616
2004,11,9,.0048657
2004,11,10,.0116418
2004,11,11,-.0026564
2004,11,12,.0161757
2004,11,16,-.0157203
2004,11,17,.0137786
2004,11,18,-.0100044
2004,11,19,-.0037616
2004,11,22,.0102618
2004,11,23,-.0092867
2004,11,24,.0036629
2004,11,25,.0189904
2004,11,26,.0051471
2004,11,29,-.0036665
2004,11,30,.0078484
2004,12,1,.0072479
2004,12,2,-.0017368
2004,12,3,.0077894
2004,12,6,.010507
2004,12,7,-.0193339
2004,12,8,-.0003768
2004,12,9,-.0144234
2004,12,10,.0177146
2004,12,13,.0125898
2004,12,14,.0116893
2004,12,15,-.0041957
2004,12,16,.0106341
2004,12,17,-.0081275
2004,12,20,-.0065296
2004,12,21,.0162107
2004,12,22,-.006549
2004,12,23,.008208
2004,12,27,.0000902
2004,12,28,.0084384
2004,12,29,.0009483
2004,12,30,-.0019441
2005,1,3,-.008173
2005,1,4,-.0261252
2005,1,5,-.009545
2005,1,6,-.0086502
2005,1,7,.0098289
2005,1,10,-.0140301
2005,1,11,-.0005454
2005,1,12,-.0005696
2005,1,13,.0129438
2005,1,14,.0064975
2005,1,17,-.0111516
2005,1,18,-.0125963
2005,1,19,.0031992
2005,1,20,-.0243013
2005,1,21,.0062759
2005,1,24,.0154446
2005,1,26,.0053248
2005,1,27,-.0163902
2005,1,28,-.0050518
2005,1,31,.0112712
2005,2,1,-.0041955
2005,2,2,.0158827
2005,2,3,.0099419
2005,2,4,.0280142
2005,2,9,.018939
2005,2,10,-.0004687
2005,2,11,.0082418
