ano,mes,dia,SMB
2004,3,15,.0081056
2004,3,16,.0056649
2004,3,17,-.0169368
2004,3,18,.0076197
2004,3,19,-.0009198
2004,3,22,.0011284
2004,3,23,-.0046484
2004,3,24,-.0019588
2004,3,25,-.0068338
2004,3,26,.0147975
2004,3,29,.0048694
2004,3,30,.0075986
2004,3,31,.0148368
2004,4,1,.0009025
2004,4,2,-.012226
2004,4,5,.014939
2004,4,6,-.0030117
2004,4,7,.0101923
2004,4,8,.0112868
2004,4,12,-.0118253
2004,4,13,-.0026667
2004,4,14,-.0014326
2004,4,15,-.0013005
2004,4,16,.0141622
2004,4,19,-.0076739
2004,4,20,-.0062567
2004,4,22,.0042504
2004,4,23,.0058363
2004,4,26,.0082765
2004,4,27,-.0051432
2004,4,28,-.0024384
2004,4,29,.0044052
2004,4,30,.0052475
2004,5,3,.0007059
2004,5,4,-.0088943
2004,5,5,-.0023655
2004,5,6,.0067464
2004,5,7,-.0149822
2004,5,10,-.0249407
2004,5,11,.016702
2004,5,12,-.0021301
2004,5,13,.00202
2004,5,14,.0286214
2004,5,17,-.0037458
2004,5,18,-.0055753
2004,5,19,-.01132
2004,5,20,-.0171999
2004,5,21,-.0111685
2004,5,24,-.0127369
2004,5,25,-.0054563
2004,5,26,.0048218
2004,5,27,.0147667
2004,5,28,-.0028992
2004,5,31,-.0069699
2004,6,1,-.0157953
2004,6,2,.0146087
2004,6,3,.0007072
2004,6,4,.0108104
2004,6,7,-.0090996
2004,6,8,-.0070342
2004,6,9,.0004728
2004,6,11,.0015215
2004,6,14,.0087447
2004,6,15,.0135389
2004,6,16,.0273616
2004,6,17,-.0141411
2004,6,18,-.0037031
2004,6,21,.0030312
2004,6,22,-.0050381
2004,6,23,.0066324
2004,6,24,-.0081274
2004,6,25,-.0127284
2004,6,28,-.022263
2004,6,29,-.008243
2004,6,30,.0001887
2004,7,1,-.0203798
2004,7,2,.004583
2004,7,5,.0043566
2004,7,6,.0018722
2004,7,7,.0174803
2004,7,8,.0024671
2004,7,12,.0047918
2004,7,13,-.0120694
2004,7,14,.0015615
2004,7,15,.010649
2004,7,16,-.0043916
2004,7,19,-.0013056
2004,7,20,.0010053
2004,7,21,-.0034187
2004,7,22,.028702
2004,7,23,.0042452
2004,7,26,-.0000239
2004,7,27,-.0145485
2004,7,28,-.009647
2004,7,29,.0039505
2004,7,30,-.0054041
2004,8,2,.0128565
2004,8,3,-.0068083
2004,8,4,-.002497
2004,8,5,-.0027574
2004,8,6,-.000249
2004,8,9,-.0117831
2004,8,10,.0081786
2004,8,11,-.0009566
2004,8,12,-.0086621
2004,8,13,-.0115668
2004,8,16,-.0029212
2004,8,17,.0086296
2004,8,18,.0103533
2004,8,19,.0036788
2004,8,20,.0114631
2004,8,23,.0048542
2004,8,24,.0200497
2004,8,25,.002791
2004,8,26,-.0011259
2004,8,27,.0035602
2004,8,30,.0084837
2004,8,31,.0112163
2004,9,1,-.0043212
2004,9,2,.0000827
2004,9,3,.0084546
2004,9,6,.0049821
2004,9,8,.002733
2004,9,9,-.0019697
2004,9,10,-.003872
2004,9,13,-.0001532
2004,9,14,.0019017
2004,9,15,.0025985
2004,9,16,.0102378
2004,9,17,-.0021195
2004,9,20,.0019026
2004,9,21,-.0055781
2004,9,22,-.0032841
2004,9,23,.0034847
2004,9,24,-.011679
2004,9,27,.0031419
2004,9,28,.0072239
2004,9,29,-.0091829
2004,9,30,.0095936
2004,10,1,-.0090055
2004,10,4,-.0043483
2004,10,5,-.0215558
2004,10,6,-.0228631
2004,10,7,.0035963
2004,10,8,-.0008283
2004,10,11,.0018245
2004,10,13,-.0077154
2004,10,14,-.000919
2004,10,15,.0007235
2004,10,18,-.0005819
2004,10,19,.0033186
2004,10,20,.0000344
2004,10,21,-.0212569
2004,10,22,-.0139654
